מספר קורס,שם קורס,"נק""ז",קורסי חובת מעבר,2025 A,2025 B,2024 A,2024 B
20213101,מבוא ללמידה חישובית*,5.0,"20112381, 20119321",82.75,Label Not Found,87.11,Label Not Found
37213503,מבוא לבינה מלאכותית להנדסת תוכנה **,3.5,"20211031, 20212031",84.77,Label Not Found,89.25,Label Not Found
20213031,מערכות הפעלה,5.0,"20212031, 20212081",Label Not Found,87.15,Label Not Found,87.86
20212051,עקרונות שפות תכנות,5.0,20212031,Label Not Found,86.21,Label Not Found,84.66
20210011,בקיאות במתמטיקה,0.0,,Label Not Found,Label Not Found,Label Not Found,Label Not Found
20112361,"חדו""א א'1 להנדסת תוכנה ומדעי המחשב",5.0,20210011,74.44,75.99,90.0,78.22
20110201,מבוא ללוגיקה ותורת הקבוצות,5.0,,67.55,79.47,76.73,48.58
20211061,מבנים בדידים וקומבינטוריקה,5.0,20110201,71.85,80.69,89.67,70.71
20112371,"חדו""א א'2 להנדסת תוכנה ומדעי המחשב",5.0,20112361,83.71,80.92,86.38,81.78
20112381,הסתברות להנדסת תוכנה,2.5,20112371,Label Not Found,77.59,Label Not Found,85.29
37213071,סטטיסטיקה להנדסת תוכנה,3.5,20112381,84.18,Label Not Found,83.6,Label Not Found
